"~id","~start_node_id","~end_node_id","~relationship_type","explanation"
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1161929803373215745","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:0","RESULTS_IN","Six yin lines × 24 = 144; derived from yarrow-stalk divination of the Pure Yin hexagram."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152923703630102530","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:2","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:3","REPRESENTS","81 is the numerical value representing the First Nine of the Yellow Bell; it is the fourth power of 3 and forms the harmonic foundation for calendrical pitchpipe construction."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152930300699869186","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:2","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:12","PRODUCES","81 is the Day Factor (日法); multiplied by 19 (Intercalation Factor) to yield the Concordance Factor 1539."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152922604118474757","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:5","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","RESULTS_IN","2392 results from symbolic operations on 49 and other values within the image of the Great Expansion, producing the lunation factor."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1155182100513554443","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:11","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","19 is added to the product 49 × 2 × 3 × 4, symbolizing intercalation (象閏) within a 19-year cycle that regulates the insertion of lunar months."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152930300699869201","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:17","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","1 is added symbolically as the 'occupied one' (象用一), representing the Dao that initiates but is not calculated—contributing to the symbolic harmony of the full expression."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152930300699869202","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:18","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","2 is first applied as 49 × 2, initiating the symbolic sequence (象二) that begins the construction of the Lunation Factor: (49 × 2 × 3 × 4 + 19 + 1) × 2 = 2392."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1155182100513554450","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:18","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","2 is applied again at the end of the symbolic sequence, doubling the whole expression to represent the two-handed stalk manipulation (象再揲之法): (49 × 2 × 3 × 4 + 19 + 1) × 2 = 2392."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152930300699869203","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:19","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","3 is applied as the next step in the symbolic construction: (49 × 2) × 3. It represents the yang sequence (象三), introducing celestial dynamics into the calendrical model."
"5:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1152930300699869204","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:20","4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","PRODUCES","4 is applied in the sequence as ((49 × 2 × 3) × 4), symbolizing structural formation (象四) through base yin–yang multiplication in calendrical construction."
