"~id","~labels","note","name","source","label","cardURL","value","name_zh","name_sa","meaning_en","meaning_zh_simple","original_text_tr","original_text_en","meaning_tr","original_text_zh","original_text_sa","petrocchi_quote_en","petrocchi_source","transliteration","name_en","name_zh_simple","meaning_zh","meaning_sa","name_pinyin","traditional_term_zh_simple","cullen_source","related_concepts_simple","related_concepts","traditional_term_en","traditional_term_pinyin","traditional_term_zh","symbolic_meaning_en","system","cullen_quote_en","system_tags_zh","system_tags_zh_simple","system_tags"
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:0","Number","Derived from 6 yin lines × 24 per line (Chthonic Reckoning).","144","Christopher Cullen, The Foundations of Celestial Reckoning, p. 52.","Number","/cards/144.html",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:31","SanskritSymbol",,"चन्द्र candra / 月亮 moon",,,,,"月亮","चन्द्र","['hare-marked','soma','drop','beam of frost','maker of night','snow-goer','deer-marked','holder of phases']","['有兔者','苏摩','水滴','冰霜之光','夜之造者','雪中行者','有鹿斑者','阴影之持者']","śaśin somaś cenduś ca prāleyāṃśurajanīkaraḥ himagur mṛgāṅkaś ca kalādharaś caiva candramāḥ","śaśin, soma, indu, prāleyāṃśu, rajanīkaraḥ, himagu, mṛgāṅka, and kalādharaḥ are all names of the moon.","['śaśin','soma','indu','prāleyāṃśu','rajanīkaraḥ','himagu','mṛgāṅka','kalādharaḥ']","有兔者、蘇摩、水滴、冰霜之光、夜之造者、雪中行者、有鹿斑者、陰影之持者等皆為月亮之名。","शशिन् सोमश्चेन्दुश्च प्रालेयांशुरजनीकरः । हिमगुर्मृगाङ्कश्च कलाधरश्चैव चन्द्रमाः ॥","All these are synonyms or poetic epithets of the moon, and by extension are used to represent the number one in Bhūta-saṃkhyā notations.","Alessandra Petrocchi, 2016, p. 483.","candra","Moon","月亮","['有兔者','蘇摩','水滴','冰霜之光','夜之造者','雪中行者','有鹿斑者','陰影之持者']","['शशिन्','सोम','इन्दु','प्रालेयांशु','रजनीकरः','हिमगु','मृगाङ्क','कलाधरः']",,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:1","Symbol",,,,,,,"六陰卦",,"earth, softness, receptivity, stillness","地，柔顺，承载，静止",,,,,,,,,"Pure Yin Hexagram","六阴卦","地，柔順，承載，靜止",,"liuyin gua","坤策","Christopher Cullen, The Foundations of Celestial Reckoning, p. 52.","土,阴,坤","土,陰,坤","Chthonic Reckoning","kun ce","坤策",,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:2","Number","Fourth power of yang number 3 (3⁴ = 81); used as Day Factor (日法之數) in lunation calculations, representing the harmonic unit for subdividing lunar cycles.","81","Christopher Cullen, The Foundations of Celestial Reckoning, p. 40.","Number","/cards/81.html",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:3","Symbol",,,"Han shu 21b, p. 991",,,,"黃鐘首九",,,,,"At the Origin Initiation, the First 9 of the Yellow Bell multiplies itself, which is the number of the first pitchpipe; one obtains the Day Factor.",,"太始元元，黃鐘之首九自乘為律首之數，以得日法之分。",,,,,"First Nine of the Yellow Bell","黄钟首九",,,"huangzhong shou jiu",,"Christopher Cullen, The Foundations of Celestial Reckoning, p. 40",,,,,,"Day Factor. The fourth power of the yang number 3 (3⁴ = 81), representing the harmonic origin of the calendrical system. This number embodies the cosmological and harmonic basis for the construction of calendrical units.","律历 system (harmonic-mathematical calendrical construction)","This number is the divisor of the fractional part of days in a (mean) lunation. As the text states, it is supposed to be derived from considerations of mathematical harmonics, for which the fundamental note is the one named ‘Yellow Bell’... The fourth power of the yang number 3 is 81, and when multiplied by 10... it represents the volume of the pitch pipe producing that note.",,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:12","Number","Concordance Factor (會法), the product of Day Factor (81) and Intercalation Factor (19). It represents the core numerical cycle in which solar and lunar rhythms are coordinated in calendrical computation.","1539","Christopher Cullen, The Foundations of Celestial Reckoning, p. 41.","Number","/cards/1539.html",1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:4","Number","Lunation Factor (步法), represents the number of 1/81-day units per lunation, constructed through symbolic-numerical operations in the system of the Great Expansion.","2392","Christopher Cullen, The Foundations of Celestial Reckoning, p. 43","Number","/cards/2392.html",2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:5","Symbol",,"大衍之象","Han shu 21a, p. 983",,,,"大衍之象",,,,,"The number of the Great Expansion is 50; of these, 49 are used… this is doubled to represent 2, trebled for 3, quadrupled for 4, then 19 (symbolizing intercalation) is added, and 1 (symbolizing the ‘occupied one’) is added, then the whole is doubled for the two-handled manipulation. This yields the Lunation Factor.",,"大衍之數五十，其用四十有九……倍之以二象二，三之以三象三，四之以四象四，加十九象閏，又加一象用一，復倍之象再揲之法，以成步法。",,,,,"Image of the Great Expansion","大衍之象",,,"dayan zhi xiang",,"Christopher Cullen, The Foundations of Celestial Reckoning, p. 43",,,,,,"Symbolic structure used to derive the Lunation Factor. Encodes operations on the number 49 and related values—including multiplication by 2, 3, and 4, followed by additions of 19 and 1, and final doubling—producing 2392 units of 1/81 days per lunation.","象数 system (symbolic–algorithmic calendrical modeling)","The Lunation Factor 2392 is calculated through an extended symbolic chain: (49 × 2 × 3 × 4 + 19 + 1) × 2 = 2392. These numbers stem from the divinatory arithmetic of the Book of Change and cosmological construction in early Chinese thought… Extending the image of the Great Expansion, one obtains the Lunation Factor.",,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:11","Number","Intercalation Factor (閏法之數), derived by summing the terminal numbers of Heaven (9) and Earth (10). It governs the cycle of seven intercalary months over every 19 solar years, reflecting the yin–yang reconciliation in calendrical cosmology.","19","Christopher Cullen, The Foundations of Celestial Reckoning, pp. 40–41","Number","/cards/19.html",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:17","Number","Symbolically represents the ‘occupied one’ (用一), signifying the Dao. Added in the construction of the Lunation Factor before final doubling.","1","Christopher Cullen, The Foundations of Celestial Reckoning, p. 43","Number","/cards/1.html",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:18","Number","Represents Earth (地) in yin–yang numerology; forms part of the Earthly (yin) sequence in the Book of Changes.","2","Christopher Cullen, The Foundations of Celestial Reckoning, p. 41","Number","/cards/2.html",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:19","Number","Represents Heaven (天) in yin–yang numerology; forms part of the Heavenly (yang) sequence in the Book of Changes and the base of calendrical harmonic numbers.","3","Christopher Cullen, The Foundations of Celestial Reckoning, pp. 40–41","Number","/cards/3.html",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:20","Number","Symbolic number associated with completeness and structural generation; used in calendrical operations such as 49×2×3×4 in the construction of the Lunation Factor.","4","Christopher Cullen, The Foundations of Celestial Reckoning, p. 43","Number","/cards/4.html",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:ccbbd43f-bdea-43c4-b65d-fdafc051272e:29","Number","The number of usable yarrow stalks in divination, foundational to the symbolic arithmetic used in calendrical construction.","49","Christopher Cullen, The Foundations of Celestial Reckoning, p. 43","Number","/cards/49.html",49,,,,,,,,,,,,,,,,,,,"Christopher Cullen, The Foundations of Celestial Reckoning, p. 43",,,,,,,,,,,
